Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1984-03-31,1.1913553430008559,macro,,,,,,,,,,,,,101.0,,,,,1.1913553430008559,,
1984-04-30,0.8421707087756833,macro,,,,,,,,,,,,,96.1,,,,,0.8421707087756833,,
1984-05-31,0.9846950492757537,macro,,,,,,,,,,,,,98.1,,,,,0.9846950492757537,,
1984-06-30,0.7994134066256627,macro,,,,,,,,,,,,,95.5,,,,,0.7994134066256627,,
1984-07-31,0.8778017939007009,macro,,,,,,,,,,,,,96.6,,,,,0.8778017939007009,,
1984-08-31,1.0559572195257887,macro,,,,,,,,,,,,,99.1,,,,,1.0559572195257887,,
1984-09-30,1.1842291259758528,macro,,,,,,,,,,,,,100.9,,,,,1.1842291259758528,,
1984-10-31,0.8564231428256905,macro,,,,,,,,,,,,,96.3,,,,,0.8564231428256905,,
1984-11-30,0.8136658406756699,macro,,,,,,,,,,,,,95.7,,,,,0.8136658406756699,,
1984-12-31,0.6141317639755718,macro,,,,,,,,,,,,,92.9,,,,,0.6141317639755718,,
1985-01-31,0.46771911725405896,macro,,,,,,,,,,,,,96.0,125.22474,,,,0.8350444917506803,0.10039374275743763,
1985-02-28,0.1134230712663499,macro,,,,,,,,,,,,,93.7,99.02081,,,,0.6711415001755996,-0.4442953576428998,
1985-03-31,0.25029933458910963,macro,,,,,,,,,,,,,93.7,112.19051,,,,0.6711415001755996,-0.17054283099738032,
1985-04-30,0.18488684618008364,macro,,,,,,,,,,,,,94.6,102.81132,,,,0.7352774534006307,-0.3655037610404634,
1985-05-31,0.2646261515092916,macro,,,,,,,,,,,,,91.8,120.08272,,,,0.5357433767005325,-0.006491073681949299,
1985-06-30,0.563364151306831,macro,,,,,,,,,,,,,96.5,132.71319,,,,0.8706755768756979,0.2560527257379641,
1985-07-31,0.4253198925037976,macro,,,,,,,,,,,,,94.0,128.00182,,,,0.69252015125061,0.15811963375698523,
1985-08-31,0.35546708718673825,macro,,,,,,,,,,,,,92.4,126.76611,,,,0.5785006788505541,0.13243349552292236,
1985-09-30,0.3448032251635982,macro,,,,,,,,,,,,,92.1,126.76856,,,,0.5571220277755429,0.1324844225516535,
1985-10-31,0.10164744169373427,macro,,,,,,,,,,,,,88.4,116.05771,,,,0.29345199785041365,-0.0901571144629451,
1985-11-30,0.25286828968563263,macro,,,,,,,,,,,,,90.9,122.03688,,,,0.47160742347550144,0.034129155895763826,
1985-12-31,0.47623935078964663,macro,,,,,,,,,,,,,93.9,133.24392,,,,0.6853939342256069,0.2670847673536864,
1986-01-31,0.7726251250700549,macro,,,,,,,,,,,,,95.6,155.93292,,,,0.8065396236506658,0.738710626489444,
1986-02-28,0.8200521698071443,macro,,,,,,,,,,,,,95.9,159.46768,,,,0.8279182747256771,0.8121860648886116,
1986-03-31,0.7991387548348559,macro,,,,,,,,,,,,,95.1,160.1981,,,,0.7709085385256482,0.8273689711440634,
1986-04-30,0.7361479692558981,macro,,,,,,,,,,,,,96.2,150.36626,,,,0.8492969258006875,0.6229990127111087,
1986-05-31,0.5020090050733625,macro,,,,,,,,,,,,,94.8,132.63792,,,,0.7495298874506379,0.2544881226960873,
1986-06-30,0.5571050652815286,macro,,,,,,,,,,,,,99.3,122.51177,,,,1.0702096535757961,0.04400047698726107,
1986-07-31,0.5999524234214029,macro,,,,,,,,,,,,,97.7,132.11963,,,,0.9561901811757402,0.24371466566706548,
1986-08-31,0.4527179645143725,macro,,,,,,,,,,,,,94.9,127.5525,,,,0.756656104475642,0.14877982455310296,
1986-09-30,0.3922392913268168,macro,,,,,,,,,,,,,91.9,132.01833,,,,0.5428695937255366,0.24160898892809698,
1986-10-31,0.31091808427503964,macro,,,,,,,,,,,,,95.6,111.50927,,,,0.8065396236506658,-0.1847034551005865,
1986-11-30,0.19775850969198286,macro,,,,,,,,,,,,,91.4,115.02029,,,,0.507238508600519,-0.1117214892165533,
1986-12-31,0.05290506599699232,macro,,,,,,,,,,,,,89.1,108.96811,,,,0.3433355170254374,-0.23752538503145276,
1987-01-31,0.23585718631165367,macro,,,,,,,,,,,,,90.4,122.11428,,,,0.4359763383504839,0.035738034272823474,
1987-02-28,0.09394011582407798,macro,,,,,,,,,,,,,90.2,109.14523,,,,0.4217239043004767,-0.23384367265232073,
1987-03-31,0.24980385032384983,macro,,,,,,,,,,,,,90.8,122.08486,,,,0.46448120645049734,0.03512649419720233,
1987-04-30,0.20439999270404163,macro,,,,,,,,,,,,,92.8,110.85971,,,,0.6070055469505676,-0.19820556154248434,
1987-05-31,0.13533792410015272,macro,,,,,,,,,,,,,91.1,110.04291,,,,0.4858598575255077,-0.21518400932520226,
1987-06-30,0.2651115672006678,macro,,,,,,,,,,,,,91.5,121.15791,,,,0.5143647256255222,0.01585840877581342,
1987-07-31,0.1895765438477976,macro,,,,,,,,,,,,,93.7,106.348,,,,0.6711415001755996,-0.2919884124800044,
1987-08-31,-0.11297408685077781,macro,,,,,,,,,,,,,94.4,74.83796,,,,0.7210250193506245,-0.9469731930521801,
1987-09-30,-0.09841516338838585,macro,,,,,,,,,,,,,93.6,78.98139,,,,0.6640152831505955,-0.8608456099273673,
1987-10-31,0.4200020221169273,macro,,,,,,,,,,,,,89.3,143.60309,,,,0.35758795107544467,0.48241609315840983,
1987-11-30,0.32192726236303826,macro,,,,,,,,,,,,,83.1,155.42208,,,,-0.0842375044747734,0.7280920292008499,
1987-12-31,0.24642244165592503,macro,,,,,,,,,,,,,86.8,135.47265,,,,0.1794325254503568,0.3134123578614933,
1988-01-31,0.34788099304323994,macro,,,,,,,,,,,,,90.8,131.52146,,,,0.46448120645049734,0.23128077963598254,
1988-02-29,0.22114011462443228,macro,,,,,,,,,,,,,91.6,116.58432,,,,0.5214909426505252,-0.07921071340166061,
1988-03-31,0.20817962192920245,macro,,,,,,,,,,,,,94.6,105.05246,,,,0.7352774534006307,-0.3189182095422258,
1988-04-30,0.17645264887753265,macro,,,,,,,,,,,,,91.2,113.65598,,,,0.4929860745505118,-0.14008077679544648,
1988-05-31,0.1227356748967593,macro,,,,,,,,,,,,,94.8,96.14572,,,,0.7495298874506379,-0.5040585376571193,
1988-06-30,0.053037999344916154,macro,,,,,,,,,,,,,94.7,89.78251,,,,0.7424036704256348,-0.6363276717358025,
1988-07-31,-0.04109696713165367,macro,,,,,,,,,,,,,93.4,85.18198,,,,0.6497628491005893,-0.7319567833638967,
1988-08-31,0.25708188724234016,macro,,,,,,,,,,,,,97.4,100.15845,,,,0.9348115301007298,-0.42064775561604956,
1988-09-30,0.19527114551757502,macro,,,,,,,,,,,,,97.3,94.55409,,,,0.9276853130757258,-0.5371430220405757,
1988-10-31,0.1610375939727542,macro,,,,,,,,,,,,,94.1,102.23078,,,,0.6996463682756131,-0.3775711803301047,
1988-11-30,0.24374722114372838,macro,,,,,,,,,,,,,93.0,113.95989,,,,0.6212579810005748,-0.13376353871311808,
1988-12-31,0.055996182446742065,macro,,,,,,,,,,,,,91.9,99.66633,,,,0.5428695937255366,-0.43087722883205243,
1989-01-31,0.32600020875154556,macro,,,,,,,,,,,,,97.9,105.07536,,,,0.9704426152257474,-0.3184421977226563,
