Date,Capex_Macro_Comp,Capex_IT_Equip,Capex_Constr,Capex_Hyperscaler,Capex_Supply
1947-01-31,,1.309435355895003,0.9925532510538231,,1.150994303474413
1947-02-28,,1.309435355895003,0.9925532510538231,,1.150994303474413
1947-03-31,,1.309435355895003,0.9925532510538231,,1.150994303474413
1947-04-30,,1.3356644154121602,1.006670879292279,,1.1711676473522195
1947-05-31,,1.3356644154121602,1.006670879292279,,1.1711676473522195
1947-06-30,,1.3356644154121602,1.006670879292279,,1.1711676473522195
1947-07-31,,1.3196989009234559,1.0142696027067453,,1.1669842518151006
1947-08-31,,1.3196989009234559,1.0142696027067453,,1.1669842518151006
1947-09-30,,1.3196989009234559,1.0142696027067453,,1.1669842518151006
1947-10-31,,1.4094391279671075,1.0614216811575654,,1.2354304045623365
1947-11-30,,1.4094391279671075,1.0614216811575654,,1.2354304045623365
1947-12-31,,1.4094391279671075,1.0614216811575654,,1.2354304045623365
1948-01-31,,1.5205836711384726,1.1290503195463164,,1.3248169953423945
1948-02-29,,1.5205836711384726,1.1290503195463164,,1.3248169953423945
1948-03-31,,1.5205836711384726,1.1290503195463164,,1.3248169953423945
1948-04-30,,1.4612831887518563,1.1218115356620089,,1.2915473622069324
1948-05-31,,1.4612831887518563,1.1218115356620089,,1.2915473622069324
1948-06-30,,1.4612831887518563,1.1218115356620089,,1.2915473622069324
1948-07-31,,1.5026882592939907,1.163044608505771,,1.332866433899881
1948-08-31,,1.5026882592939907,1.163044608505771,,1.332866433899881
1948-09-30,,1.5026882592939907,1.163044608505771,,1.332866433899881
1948-10-31,,1.5788314822401197,1.2061973588437143,,1.392514420541917
1948-11-30,,1.5788314822401197,1.2061973588437143,,1.392514420541917
1948-12-31,,1.5788314822401197,1.2061973588437143,,1.392514420541917
1949-01-31,,1.4760205867414298,1.1431279545036432,,1.3095742706225364
1949-02-28,,1.4760205867414298,1.1431279545036432,,1.3095742706225364
1949-03-31,,1.4760205867414298,1.1431279545036432,,1.3095742706225364
1949-04-30,,1.4114567479299658,1.0988553922940947,,1.2551560701120303
1949-05-31,,1.4114567479299658,1.0988553922940947,,1.2551560701120303
1949-06-30,,1.4114567479299658,1.0988553922940947,,1.2551560701120303
1949-07-31,,1.3312782850581204,1.0443045568344518,,1.187791420946286
1949-08-31,,1.3312782850581204,1.0443045568344518,,1.187791420946286
1949-09-30,,1.3312782850581204,1.0443045568344518,,1.187791420946286
1949-10-31,,1.3014525986506507,1.024947808768127,,1.1632002037093887
1949-11-30,,1.3014525986506507,1.024947808768127,,1.1632002037093887
1949-12-31,,1.3014525986506507,1.024947808768127,,1.1632002037093887
1950-01-31,,1.327243045132404,1.0552627158637349,,1.1912528804980695
1950-02-28,,1.327243045132404,1.0552627158637349,,1.1912528804980695
1950-03-31,,1.327243045132404,1.0552627158637349,,1.1912528804980695
1950-04-30,,1.5012846975806982,1.1540061269706687,,1.3276454122756833
1950-05-31,,1.5012846975806982,1.1540061269706687,,1.3276454122756833
1950-06-30,,1.5012846975806982,1.1540061269706687,,1.3276454122756833
1950-07-31,,1.6968183887637864,1.2761856008190624,,1.4865019947914244
1950-08-31,,1.6968183887637864,1.2761856008190624,,1.4865019947914244
1950-09-30,,1.6968183887637864,1.2761856008190624,,1.4865019947914244
1950-10-31,,1.720152602247278,1.3165388214779916,,1.5183457118626347
1950-11-30,,1.720152602247278,1.3165388214779916,,1.5183457118626347
1950-12-31,,1.720152602247278,1.3165388214779916,,1.5183457118626347
1951-01-31,,1.7003272930470184,1.3253373433263211,,1.5128323181866699
1951-02-28,,1.7003272930470184,1.3253373433263211,,1.5128323181866699
1951-03-31,,1.7003272930470184,1.3253373433263211,,1.5128323181866699
1951-04-30,,1.7256791264933675,1.3647307252381602,,1.5452049258657639
1951-05-31,,1.7256791264933675,1.3647307252381602,,1.5452049258657639
1951-06-30,,1.7256791264933675,1.3647307252381602,,1.5452049258657639
1951-07-31,,1.771821217817865,1.393485894369746,,1.5826535560938053
1951-08-31,,1.771821217817865,1.393485894369746,,1.5826535560938053
1951-09-30,,1.771821217817865,1.393485894369746,,1.5826535560938053
1951-10-31,,1.77568101252942,1.385447244862863,,1.5805641286961416
1951-11-30,,1.77568101252942,1.385447244862863,,1.5805641286961416
1951-12-31,,1.77568101252942,1.385447244862863,,1.5805641286961416
1952-01-31,,1.7911201913756396,1.4050039593348318,,1.5980620753552357
1952-02-29,,1.7911201913756396,1.4050039593348318,,1.5980620753552357
1952-03-31,,1.7911201913756396,1.4050039593348318,,1.5980620753552357
1952-04-30,,1.8264724020291994,1.4303596995704722,,1.6284160507998358
1952-05-31,,1.8264724020291994,1.4303596995704722,,1.6284160507998358
1952-06-30,,1.8264724020291994,1.4303596995704722,,1.6284160507998358
1952-07-31,,1.5501461897247,1.315459002887515,,1.4328025963061075
1952-08-31,,1.5501461897247,1.315459002887515,,1.4328025963061075
1952-09-30,,1.5501461897247,1.315459002887515,,1.4328025963061075
1952-10-31,,1.7427850348741225,1.4323993569080395,,1.587592195891081
1952-11-30,,1.7427850348741225,1.4323993569080395,,1.587592195891081
1952-12-31,,1.7427850348741225,1.4323993569080395,,1.587592195891081
1953-01-31,,1.8636667874314556,1.5113860871373608,,1.6875264372844083
1953-02-28,,1.8636667874314556,1.5113860871373608,,1.6875264372844083
1953-03-31,,1.8636667874314556,1.5113860871373608,,1.6875264372844083
1953-04-30,,1.8690178664633839,1.5383415586181524,,1.703679712540768
1953-05-31,,1.8690178664633839,1.5383415586181524,,1.703679712540768
