date,Infra,Infra_Util_CapUtil_idx,Infra_Util_CapUtil_raw,Infra_Macro
1980-01-31,100.0,100.0,83.303,100.0
1980-02-29,103.287276568671,103.287276568671,86.0414,103.287276568671
1980-03-31,105.61720466249716,105.61720466249716,87.9823,105.61720466249716
1980-04-30,103.15486837208745,103.15486837208745,85.9311,103.15486837208745
1980-05-31,100.68472924144389,100.68472924144389,83.8734,100.68472924144389
1980-06-30,99.8983229895682,99.8983229895682,83.2183,99.8983229895682
1980-07-31,103.53888815528853,103.53888815528853,86.251,103.53888815528853
1980-08-31,104.75973254264552,104.75973254264552,87.268,104.75973254264552
1980-09-30,105.29584768855864,105.29584768855864,87.7146,105.29584768855864
1980-10-31,103.14946640577169,103.14946640577169,85.9266,103.14946640577169
1980-11-30,102.15118303062314,102.15118303062314,85.095,102.15118303062314
1980-12-31,102.9708413862646,102.9708413862646,85.7778,102.9708413862646
1981-01-31,103.28655630649557,103.28655630649557,86.0408,103.28655630649557
1981-02-28,101.99608657551349,101.99608657551349,84.9658,101.99608657551349
1981-03-31,101.81109924012341,101.81109924012341,84.8117,101.81109924012341
1981-04-30,102.3738640865275,102.3738640865275,85.2805,102.3738640865275
1981-05-31,102.11096839249487,102.11096839249487,85.0615,102.11096839249487
1981-06-30,104.85144592631717,104.85144592631717,87.3444,104.85144592631717
1981-07-31,103.96864458662954,103.96864458662954,86.609,103.96864458662954
1981-08-31,101.20043695905309,101.20043695905309,84.303,101.20043695905309
1981-09-30,99.33603831794773,99.33603831794773,82.7499,99.33603831794773
1981-10-31,99.7872825708558,99.7872825708558,83.1258,99.7872825708558
1981-11-30,99.62114209572283,99.62114209572283,82.9874,99.62114209572283
1981-12-31,100.71353972846117,100.71353972846117,83.8974,100.71353972846117
1982-01-31,100.90188828733659,100.90188828733659,84.0543,100.90188828733659
1982-02-28,98.68564157353276,98.68564157353276,82.2081,98.68564157353276
1982-03-31,98.63978488169694,98.63978488169694,82.1699,98.63978488169694
1982-04-30,98.97734775458267,98.97734775458267,82.4511,98.97734775458267
1982-05-31,97.5466669867832,97.5466669867832,81.2593,97.5466669867832
1982-06-30,96.41573532765926,96.41573532765926,80.3172,96.41573532765926
1982-07-31,95.43125697753983,95.43125697753983,79.4971,95.43125697753983
1982-08-31,93.90406107823249,93.90406107823249,78.2249,93.90406107823249
1982-09-30,93.58894637648105,93.58894637648105,77.9624,93.58894637648105
