Date,Infra_Power_Grid,Infra_Construction,Infra_Supply,Infra
1939-01-31,3.307336441319482,,3.307336441319482,3.307336441319482
1939-02-28,3.3326355411675883,,3.3326355411675883,3.3326355411675883
1939-03-31,3.4083344163993723,,3.4083344163993723,3.4083344163993723
1939-04-30,3.4335343040912116,,3.4335343040912116,3.4335343040912116
1939-05-31,3.4335343040912116,,3.4335343040912116,3.4335343040912116
1939-06-30,3.484033291631157,,3.484033291631157,3.484033291631157
1939-07-31,3.484033291631157,,3.484033291631157,3.484033291631157
1939-08-31,3.5345322791711022,,3.5345322791711022,3.5345322791711022
1939-09-30,3.6355302542509933,,3.6355302542509933,3.6355302542509933
1939-10-31,3.6355302542509933,,3.6355302542509933,3.6355302542509933
1939-11-30,3.6608293540990995,,3.6608293540990995,3.6608293540990995
1939-12-31,3.6608293540990995,,3.6608293540990995,3.6608293540990995
1940-01-31,3.6860292417909384,,3.6860292417909384,3.6860292417909384
1940-02-29,3.7365282293308835,,3.7365282293308835,3.7365282293308835
1940-03-31,3.7618273291789897,,3.7618273291789897,3.7618273291789897
1940-04-30,3.7618273291789897,,3.7618273291789897,3.7618273291789897
1940-05-31,3.7870272168708285,,3.7870272168708285,3.7870272168708285
1940-06-30,3.837526204410774,,3.837526204410774,3.837526204410774
1940-07-31,3.837526204410774,,3.837526204410774,3.837526204410774
1940-08-31,3.888025191950719,,3.888025191950719,3.888025191950719
1940-09-30,3.9385241794906647,,3.9385241794906647,3.9385241794906647
1940-10-31,3.9637240671825036,,3.9637240671825036,3.9637240671825036
1940-11-30,4.064722042262395,,4.064722042262395,4.064722042262395
1940-12-31,4.064722042262395,,4.064722042262395,4.064722042262395
1941-01-31,4.0900211421105,,4.0900211421105,4.0900211421105
1941-02-28,4.1405201296504455,,4.1405201296504455,4.1405201296504455
1941-03-31,4.191019117190391,,4.191019117190391,4.191019117190391
1941-04-30,4.2415181047303365,,4.2415181047303365,4.2415181047303365
1941-05-31,4.266717992422175,,4.266717992422175,4.266717992422175
1941-06-30,4.342516079810227,,4.342516079810227,4.342516079810227
1941-07-31,4.392915855193905,,4.392915855193905,4.392915855193905
1941-08-31,4.4434148427338505,,4.4434148427338505,4.4434148427338505
1941-09-30,4.468713942581957,,4.468713942581957,4.468713942581957
1941-10-31,4.493913830273796,,4.493913830273796,4.493913830273796
1941-11-30,4.544412817813741,,4.544412817813741,4.544412817813741
1941-12-31,4.645410792893631,,4.645410792893631,4.645410792893631
1942-01-31,4.695909780433577,,4.695909780433577,4.695909780433577
1942-02-28,4.746408767973522,,4.746408767973522,4.746408767973522
1942-03-31,4.771707867821628,,4.771707867821628,4.771707867821628
1942-04-30,4.771707867821628,,4.771707867821628,4.771707867821628
1942-05-31,4.771707867821628,,4.771707867821628,4.771707867821628
1942-06-30,4.796907755513467,,4.796907755513467,4.796907755513467
1942-07-31,4.948404718133304,,4.948404718133304,4.948404718133304
1942-08-31,4.973604605825142,,4.973604605825142,4.973604605825142
1942-09-30,4.998903705673249,,4.998903705673249,4.998903705673249
1942-10-31,4.998903705673249,,4.998903705673249,4.998903705673249
1942-11-30,5.074602580905033,,5.074602580905033,5.074602580905033
1942-12-31,5.150400668293085,,5.150400668293085,5.150400668293085
1943-01-31,5.099901680753139,,5.099901680753139,5.099901680753139
1943-02-28,5.175600555984924,,5.175600555984924,5.175600555984924
1943-03-31,5.20089965583303,,5.20089965583303,5.20089965583303
1943-04-30,5.276598531064815,,5.276598531064815,5.276598531064815
1943-05-31,5.301897630912921,,5.301897630912921,5.301897630912921
1943-06-30,5.402796393836544,,5.402796393836544,5.402796393836544
1943-07-31,5.453295381376489,,5.453295381376489,5.453295381376489
1943-08-31,5.4785944812245955,,5.4785944812245955,5.4785944812245955
1943-09-30,5.579592456304486,,5.579592456304486,5.579592456304486
1943-10-31,5.579592456304486,,5.579592456304486,5.579592456304486
1943-11-30,5.6552913315362705,,5.6552913315362705,5.6552913315362705
1943-12-31,5.6552913315362705,,5.6552913315362705,5.6552913315362705
1944-01-31,5.604792343996325,,5.604792343996325,5.604792343996325
1944-02-29,5.680590431384377,,5.680590431384377,5.680590431384377
1944-03-31,5.781588406464267,,5.781588406464267,5.781588406464267
1944-04-30,5.806788294156107,,5.806788294156107,5.806788294156107
1944-05-31,5.806788294156107,,5.806788294156107,5.806788294156107
1944-06-30,5.806788294156107,,5.806788294156107,5.806788294156107
1944-07-31,5.756289306616161,,5.756289306616161,5.756289306616161
1944-08-31,5.781588406464267,,5.781588406464267,5.781588406464267
1944-09-30,5.756289306616161,,5.756289306616161,5.756289306616161
1944-10-31,5.705790319076216,,5.705790319076216,5.705790319076216
1944-11-30,5.756289306616161,,5.756289306616161,5.756289306616161
1944-12-31,5.781588406464267,,5.781588406464267,5.781588406464267
1945-01-31,5.882487169387891,,5.882487169387891,5.882487169387891
1945-02-28,5.882487169387891,,5.882487169387891,5.882487169387891
1945-03-31,5.857287281696052,,5.857287281696052,5.857287281696052
1945-04-30,5.857287281696052,,5.857287281696052,5.857287281696052
1945-05-31,5.907786269235997,,5.907786269235997,5.907786269235997
1945-06-30,5.983485144467781,,5.983485144467781,5.983485144467781
1945-07-31,5.958285256775943,,5.958285256775943,5.958285256775943
1945-08-31,5.857287281696052,,5.857287281696052,5.857287281696052
1945-09-30,5.756289306616161,,5.756289306616161,5.756289306616161
1945-10-31,5.705790319076216,,5.705790319076216,5.705790319076216
1945-11-30,5.756289306616161,,5.756289306616161,5.756289306616161
1945-12-31,5.806788294156107,,5.806788294156107,5.806788294156107
1946-01-31,5.806788294156107,,5.806788294156107,5.806788294156107
1946-02-28,5.806788294156107,,5.806788294156107,5.806788294156107
1946-03-31,5.806788294156107,,5.806788294156107,5.806788294156107
1946-04-30,5.907786269235997,,5.907786269235997,5.907786269235997
1946-05-31,5.958285256775943,,5.958285256775943,5.958285256775943
1946-06-30,5.983485144467781,,5.983485144467781,5.983485144467781
1946-07-31,6.109782219395778,,6.109782219395778,6.109782219395778
1946-08-31,6.210780194475669,,6.210780194475669,6.210780194475669
1946-09-30,6.286479069707453,,6.286479069707453,6.286479069707453
1946-10-31,6.362177944939237,,6.362177944939237,6.362177944939237
1946-11-30,6.387477044787344,,6.387477044787344,6.387477044787344
1946-12-31,6.412676932479182,,6.412676932479182,6.412676932479182
1947-01-31,6.589472994947125,1.2837293753737689,3.936601185160447,3.936601185160447
1947-02-28,6.463175920019128,1.2837293753737689,3.8734526476964484,3.8734526476964484
1947-03-31,6.412676932479182,1.2837293753737689,3.8482031539264754,3.8482031539264754
1947-04-30,6.412676932479182,1.2931787110749244,3.8529278217770533,3.8529278217770533
1947-05-31,6.387477044787344,1.2931787110749244,3.8403278779311343,3.8403278779311343
1947-06-30,6.387477044787344,1.2931787110749244,3.8403278779311343,3.8403278779311343
1947-07-31,6.387477044787344,1.4383923651130655,3.912934704950205,3.912934704950205
1947-08-31,6.564173895099018,1.4383923651130655,4.001283130106042,4.001283130106042
1947-09-30,6.6904709700270155,1.4383923651130655,4.064431667570041,4.064431667570041
1947-10-31,6.715670857718854,1.6702425971639228,4.192956727441389,4.192956727441389
1947-11-30,6.791468945106906,1.6702425971639228,4.230855771135414,4.230855771135414
1947-12-31,7.119662758038417,1.6702425971639228,4.39495267760117,4.39495267760117
1948-01-31,7.473056458661767,1.710854962106905,4.591955710384336,4.591955710384336
1948-02-29,7.296359608350092,1.710854962106905,4.503607285228498,4.503607285228498
1948-03-31,7.321559496041931,1.710854962106905,4.516207229074418,4.516207229074418
1948-04-30,7.170161745578363,1.7880650811536802,4.479113413366021,4.479113413366021
1948-05-31,7.018664782958527,1.7880650811536802,4.403364932056103,4.403364932056103
1948-06-30,7.069163770498473,1.7880650811536802,4.428614425826076,4.428614425826076
1948-07-31,7.119662758038417,1.7979242704568867,4.458793514247652,4.458793514247652
1948-08-31,7.296359608350092,1.7979242704568867,4.547141939403489,4.547141939403489
1948-09-30,7.422557471121821,1.7979242704568867,4.610240870789354,4.610240870789354
1948-10-31,7.498355558509873,1.7368782434504837,4.617616900980178,4.617616900980178
1948-11-30,7.599353533589763,1.7368782434504837,4.6681158885201235,4.6681158885201235
1948-12-31,7.902248246673168,1.7368782434504837,4.8195632450618255,4.8195632450618255
1949-01-31,8.07904430914111,1.6300421114497272,4.854543210295419,4.854543210295419
1949-02-28,7.902248246673168,1.6300421114497272,4.766145179061448,4.766145179061448
1949-03-31,7.801250271593278,1.6300421114497272,4.715646191521502,4.715646191521502
1949-04-30,7.624553421281603,1.5887816576895313,4.606667539485567,4.606667539485567
1949-05-31,7.473056458661767,1.5887816576895313,4.530919058175649,4.530919058175649
1949-06-30,7.523555446201713,1.5887816576895313,4.556168551945622,4.556168551945622
1949-07-31,7.624553421281603,1.6235850972903938,4.624069259285998,4.624069259285998
1949-08-31,7.801250271593278,1.6235850972903938,4.712417684441836,4.712417684441836
1949-09-30,7.877048358981329,1.6235850972903938,4.750316728135862,4.750316728135862
1949-10-31,7.826549371441384,1.7479253394440506,4.787237355442717,4.787237355442717
1949-11-30,8.028545321601165,1.7479253394440506,4.888235330522607,4.888235330522607
1949-12-31,8.482936997304407,1.7479253394440506,5.115431168374228,5.115431168374228
1950-01-31,8.886928897623967,1.8976243357747207,5.392276616699344,5.392276616699344
1950-02-28,8.684932947464187,1.8976243357747207,5.291278641619454,5.291278641619454
1950-03-31,8.735431935004133,1.8976243357747207,5.316528135389427,5.316528135389427
1950-04-30,8.634433959924241,2.1161254432495693,5.375279701586905,5.375279701586905
1950-05-31,8.609234072232402,2.1161254432495693,5.3626797577409855,5.3626797577409855
1950-06-30,8.684932947464187,2.1161254432495693,5.400529195356878,5.400529195356878
1950-07-31,8.710232047312294,2.3230369966713535,5.516634521991824,5.516634521991824
1950-08-31,8.912128785315808,2.3230369966713535,5.617582890993581,5.617582890993581
1950-09-30,9.038425860243805,2.3230369966713535,5.680731428457579,5.680731428457579
1950-10-31,9.18992282286364,2.262757615009065,5.726340218936352,5.726340218936352
1950-11-30,9.316120685635369,2.262757615009065,5.789439150322217,5.789439150322217
1950-12-31,9.64431449856688,2.262757615009065,5.953536056787972,5.953536056787972
1951-01-31,10.199704149350012,2.235706576370994,6.217705362860503,6.217705362860503
1951-02-28,10.048306398886444,2.235706576370994,6.142006487628719,6.142006487628719
1951-03-31,10.048306398886444,2.235706576370994,6.142006487628719,6.142006487628719
1951-04-30,10.023007299038337,2.061920426789644,6.042463862913991,6.042463862913991
1951-05-31,9.821011348878555,2.061920426789644,5.9414658878341,5.9414658878341
1951-06-30,9.947308423806552,2.061920426789644,6.004614425298098,6.004614425298098
1951-07-31,9.997807411346498,1.9964396497591659,5.997123530552832,5.997123530552832
1951-08-31,10.225003249198119,1.9964396497591659,6.110721449478643,6.110721449478643
1951-09-30,10.326001224278007,1.9964396497591659,6.161220437018587,6.161220437018587
1951-10-31,10.250203136889958,2.0166990598221775,6.133451098356067,6.133451098356067
1951-11-30,10.452199087049738,2.0166990598221775,6.2344490734359574,6.2344490734359574
1951-12-31,10.75519301228941,2.0166990598221775,6.385946036055794,6.385946036055794
1952-01-31,11.285382775380702,2.067265691549802,6.676324233465252,6.676324233465252
1952-02-29,11.032887837680976,2.067265691549802,6.550076764615389,6.550076764615389
1952-03-31,10.957188962449191,2.067265691549802,6.512227326999497,6.512227326999497
1952-04-30,10.679494137057626,2.116847238588631,6.398170687823129,6.398170687823129
1952-05-31,10.477498186897845,2.116847238588631,6.297172712743238,6.297172712743238
1952-06-30,10.55319706212963,2.116847238588631,6.335022150359131,6.335022150359131
1952-07-31,10.729993124597572,2.058724556052235,6.394358840324903,6.394358840324903
1952-08-31,11.083386825220922,2.058724556052235,6.5710556906365785,6.5710556906365785
1952-09-30,11.285382775380702,2.058724556052235,6.672053665716469,6.672053665716469
1952-10-31,11.260083675532597,2.1839052259581657,6.721994450745381,6.721994450745381
1952-11-30,11.361081650612485,2.1839052259581657,6.772493438285325,6.772493438285325
1952-12-31,11.765073550932048,2.1839052259581657,6.9744893884451065,6.9744893884451065
1953-01-31,12.168966239095342,2.2484243638836316,7.208695301489486,7.208695301489486
1953-02-28,11.790273438623888,2.2484243638836316,7.01934890125376,7.01934890125376
1953-03-31,11.86607152601194,2.2484243638836316,7.057247944947786,7.057247944947786
1953-04-30,11.790273438623888,2.2687001453726343,7.029486791998261,7.029486791998261
1953-05-31,11.638875688160317,2.2687001453726343,6.953787916766475,6.953787916766475
1953-06-30,11.790273438623888,2.2687001453726343,7.029486791998261,7.029486791998261
1953-07-31,11.967069501091828,2.248123970310368,7.107596735701098,7.107596735701098
1953-08-31,12.143766351403503,2.248123970310368,7.195945160856936,7.195945160856936
1953-09-30,12.143766351403503,2.248123970310368,7.195945160856936,7.195945160856936
1953-10-31,12.042768376323615,2.2219911530516905,7.132379764687652,7.132379764687652
1953-11-30,11.967069501091828,2.2219911530516905,7.094530327071759,7.094530327071759
1953-12-31,12.370962189255126,2.2219911530516905,7.296476671153409,7.296476671153409
1954-01-31,13.052648914966253,2.212104448985328,7.63237668197579,7.63237668197579
1954-02-28,12.699156002186637,2.212104448985328,7.455630225585983,7.455630225585983
1954-03-31,12.648756226802957,2.212104448985328,7.430430337894142,7.430430337894142
1954-04-30,12.497259264183121,2.3070299340238996,7.402144599103511,7.402144599103511
1954-05-31,12.244764326483395,2.3070299340238996,7.2758971302536475,7.2758971302536475
1954-06-30,12.446760276643175,2.3070299340238996,7.376895105333538,7.376895105333538
1954-07-31,12.774954089574688,2.4346037713746442,7.604778930474666,7.604778930474666
1954-08-31,13.1031479025062,2.4346037713746442,7.768875836940422,7.768875836940422
1954-09-30,13.153646890046144,2.4346037713746442,7.7941253307103935,7.7941253307103935
1954-10-31,13.052648914966253,2.5380643852403537,7.795356650103304,7.795356650103304
1954-11-30,13.1031479025062,2.5380643852403537,7.820606143873277,7.820606143873277
1954-12-31,13.759535528369222,2.5380643852403537,8.148799956804787,8.148799956804787
1955-01-31,14.163527428688782,2.688363247326274,8.425945338007528,8.425945338007528
1955-02-28,14.113028441148836,2.688363247326274,8.400695844237555,8.400695844237555
1955-03-31,14.113028441148836,2.688363247326274,8.400695844237555,8.400695844237555
1955-04-30,13.961531478529002,2.7837909963731318,8.372661237451068,8.372661237451068
1955-05-31,13.683836653137435,2.7837909963731318,8.233813824755284,8.233813824755284
1955-06-30,13.810034515909168,2.7837909963731318,8.29691275614115,8.29691275614115
1955-07-31,14.163527428688782,2.810728974266572,8.487128201477677,8.487128201477677
1955-08-31,14.87041404209175,2.810728974266572,8.840571508179162,8.840571508179162
1955-09-30,14.97141201717164,2.810728974266572,8.891070495719106,8.891070495719106
1955-10-31,14.693717191780072,2.7766406541007296,8.7351789229404,8.7351789229404
1955-11-30,14.769416067011859,2.7766406541007296,8.773028360556294,8.773028360556294
1955-12-31,15.526801667954771,2.7766406541007296,9.151721161027751,9.151721161027751
1956-01-31,16.08229053089417,2.7580316010130033,9.420161065953586,9.420161065953586
1956-02-29,15.88029458073439,2.7580316010130033,9.319163090873696,9.319163090873696
1956-03-31,15.728797618114552,2.7580316010130033,9.243414609563777,9.243414609563777
1956-04-30,15.526801667954771,2.8019055868043883,9.16435362737958,9.16435362737958
1956-05-31,15.375403917491203,2.8019055868043883,9.088654752147797,9.088654752147797
1956-06-30,15.476401892571094,2.8019055868043883,9.13915373968774,9.13915373968774
1956-07-31,15.703597730422715,2.8040549261531416,9.253826328287929,9.253826328287929
1956-08-31,16.08229053089417,2.8040549261531416,9.443172728523656,9.443172728523656
1956-09-30,15.981292555814278,2.8040549261531416,9.39267374098371,9.39267374098371
1956-10-31,15.703597730422715,2.782894243948248,9.243245987185482,9.243245987185482
1956-11-30,15.703597730422715,2.782894243948248,9.243245987185482,9.243245987185482
1956-12-31,16.410484343825683,2.782894243948248,9.596689293886966,9.596689293886966
1957-01-31,17.142670057076753,2.774856217963931,9.958763137520343,9.958763137520343
1957-02-28,16.915474219225135,2.774856217963931,9.845165218594534,9.845165218594534
1957-03-31,16.688179169217243,2.774856217963931,9.731517693590586,9.731517693590586
1957-04-30,16.410484343825683,2.7416760645399965,9.57608020418284,9.57608020418284
1957-05-31,16.132789518434116,2.7416760645399965,9.437232791487055,9.437232791487055
1957-06-30,16.334785468593896,2.7416760645399965,9.538230766566947,9.538230766566947
1957-07-31,16.99117309445692,2.759284519267265,9.875228806862092,9.875228806862092
1957-08-31,17.52136285754821,2.759284519267265,10.140323688407737,10.140323688407737
1957-09-30,17.268867919848482,2.759284519267265,10.014076219557873,10.014076219557873
1957-10-31,16.789177144297135,2.7336764412119203,9.761426792754527,9.761426792754527
1957-11-30,16.839676131837084,2.7336764412119203,9.786676286524502,9.786676286524502
1957-12-31,17.470863870008266,2.7336764412119203,10.102270155610093,10.102270155610093
1958-01-31,18.076752508331342,2.5836343419541956,10.330193425142769,10.330193425142769
1958-02-28,17.773857795247935,2.5836343419541956,10.178746068601065,10.178746068601065
1958-03-31,17.546661957396314,2.5836343419541956,10.065148149675254,10.065148149675254
1958-04-30,16.94067410691697,2.5602551882696956,9.750464647593333,9.750464647593333
1958-05-31,16.61248029398546,2.5602551882696956,9.586367741127578,9.586367741127578
1958-06-30,17.04167208199686,2.5602551882696956,9.800963635133279,9.800963635133279
1958-07-31,17.52136285754821,2.6679979967725136,10.09468042716036,10.09468042716036
1958-08-31,18.228249470951177,2.6679979967725136,10.448123733861845,10.448123733861845
1958-09-30,18.278748458491123,2.6679979967725136,10.473373227631818,10.473373227631818
1958-10-31,17.723358807707992,2.8864907071581256,10.304924757433058,10.304924757433058
1958-11-30,17.64756072031994,2.8864907071581256,10.267025713739033,10.267025713739033
1958-12-31,18.58174238373079,2.8864907071581256,10.734116545444458,10.734116545444458
1959-01-31,19.566323822525327,3.1363721700210734,11.3513479962732,11.3513479962732
1959-02-28,19.238130009593814,3.1363721700210734,11.187251089807443,11.187251089807443
1959-03-31,19.137132034513925,3.1363721700210734,11.136752102267499,11.136752102267499
1959-04-30,18.682740358810683,3.2476769839826076,10.965208671396645,10.965208671396645
1959-05-31,18.55644328388269,3.2476769839826076,10.902060133932649,10.902060133932649
1959-06-30,19.137132034513925,3.2476769839826076,11.192404509248266,11.192404509248266
1959-07-31,19.642121909913378,3.2397813036887326,11.440951606801056,11.440951606801056
1959-08-31,20.046014598076674,3.2397813036887326,11.642897950882704,11.642897950882704
1959-09-30,20.248010548236454,3.2397813036887326,11.743895925962594,11.743895925962594
1959-10-31,19.339127984673706,3.1799318604047366,11.25952992253922,11.25952992253922
1959-11-30,19.28862899713376,3.1799318604047366,11.234280428769248,11.234280428769248
1959-12-31,20.39950751085629,3.1799318604047366,11.789719685630512,11.789719685630512
1960-01-31,21.257891086879095,3.2892245987152204,12.273557842797157,12.273557842797157
1960-02-29,20.954897161639423,3.2892245987152204,12.122060880177322,12.122060880177322
1960-03-31,21.05589513671931,3.2892245987152204,12.172559867717265,12.172559867717265
1960-04-30,20.349008523316346,3.1369640647259853,11.742986294021165,11.742986294021165
1960-05-31,19.74311988499327,3.1369640647259853,11.440041974859628,11.440041974859628
1960-06-30,20.248010548236454,3.1369640647259853,11.692487306481219,11.692487306481219
1960-07-31,20.753000423635907,3.057342092275909,11.905171257955908,11.905171257955908
1960-08-31,21.560885012118764,3.057342092275909,12.309113552197337,12.309113552197337
1960-09-30,21.586084899810604,3.057342092275909,12.321713496043257,12.321713496043257
1960-10-31,20.576204361167967,3.0517577467956234,11.813981053981795,11.813981053981795
1960-11-30,20.349008523316346,3.0517577467956234,11.700383135055985,11.700383135055985
1960-12-31,21.10639412425926,3.0517577467956234,12.079075935527442,12.079075935527442
1961-01-31,22.116274662901894,3.0359294492927487,12.576102056097321,12.576102056097321
1961-02-28,21.661882987198656,3.0359294492927487,12.348906218245702,12.348906218245702
1961-03-31,21.358889061958987,3.0359294492927487,12.197409255625868,12.197409255625868
1961-04-30,21.00539614917937,3.074885040086898,12.040140594633133,12.040140594633133
1961-05-31,21.00539614917937,3.074885040086898,12.040140594633133,12.040140594633133
1961-06-30,21.45988703703887,3.074885040086898,12.267386038562885,12.267386038562885
1961-07-31,21.96477770028206,3.1921391541282547,12.578458427205158,12.578458427205158
1961-08-31,22.999957338772806,3.1921391541282547,13.09604824645053,13.09604824645053
1961-09-30,23.126155201544535,3.1921391541282547,13.159147177836395,13.159147177836395
1961-10-31,22.217272637981786,3.295483103247075,12.75637787061443,12.75637787061443
1961-11-30,21.889078825050277,3.295483103247075,12.592280964148676,12.592280964148676
1961-12-31,22.79796138861302,3.295483103247075,13.046722245930049,13.046722245930049
1962-01-31,24.16133484003528,3.360076811125254,13.760705825580267,13.760705825580267
1962-02-28,23.530147101864095,3.360076811125254,13.445111956494674,13.445111956494674
1962-03-31,23.37865013924426,3.360076811125254,13.369363475184757,13.369363475184757
1962-04-30,22.520266563221462,3.461005704378683,12.990636133800072,12.990636133800072
1962-05-31,22.41926858814157,3.461005704378683,12.940137146260126,12.940137146260126
1962-06-30,23.17665418908448,3.461005704378683,13.318829946731581,13.318829946731581
1962-07-31,23.883640014643714,3.4732885686189165,13.678464291631315,13.678464291631315
1962-08-31,24.540027640506736,3.4732885686189165,14.006658104562826,14.006658104562826
1962-09-30,24.540027640506736,3.4732885686189165,14.006658104562826,14.006658104562826
1962-10-31,23.530147101864095,3.46122498922833,13.495686045546213,13.495686045546213
1962-11-30,23.37865013924426,3.46122498922833,13.419937564236296,13.419937564236296
1962-12-31,24.26233281511517,3.46122498922833,13.86177890217175,13.86177890217175
1963-01-31,25.676106041921106,3.5437146106749045,14.609910326298005,14.609910326298005
